symbol,market_cap_cr,current_price,pe_ratio,book_value,roce_pct,roe_pct,dividend_yield_pct,promoter_holding_pct,revenue_growth_3yr_pct,profit_growth_3yr_pct,latest_year_ocf_cr,debt_to_equity,as_of_quarter
360ONE,,1143.0,36.9,242.0,12.1,14.4,1.05,6.2,23.0,30.0,-2921.0,1.62,Jun 2026
3MINDIA,,34940.0,64.5,1906.0,40.5,30.5,0.46,75.0,53.0,7.0,643.0,0.01,Jun 2026
ABB,,7292.0,101.0,370.0,29.9,22.4,0.54,75.0,,17.0,1220.0,0.01,Jun 2026
ACC,,1356.0,13.4,1094.0,11.2,10.9,0.55,56.69,31.0,-12.0,-1364.0,0.02,Jun 2026
ACMESOLAR,,361.0,42.8,83.5,8.89,10.4,0.06,71.4,149.0,,1249.0,3.93,Jun 2026
AIAENG,,4564.0,33.4,860.0,21.1,17.0,0.35,58.5,7.0,10.0,592.0,0.0,Jun 2026
APLAPOLLO,,1893.0,43.7,191.0,31.6,25.3,0.3,28.25,23.0,6.0,2103.0,0.09,Jun 2026
AUBANK,,1031.0,227.0,,12.4,22.3,0.1,22.74,49.0,12.0,884.0,,Jun 2026
AWL,,188.0,20.8,80.3,18.3,10.7,0.53,56.94,22.0,-23.0,3928.0,0.11,Jun 2026
AADHARHFC,,491.0,19.4,173.0,11.4,15.9,0.0,64.66,25.0,,-2808.0,,Jun 2026
AARTIIND,,480.0,33.4,164.0,6.85,7.13,0.21,41.82,-9.0,1.0,775.0,0.83,Jun 2026
AAVAS,,1363.0,22.0,477.0,9.91,13.9,0.0,48.88,19.0,-4.0,-1987.0,,Jun 2026
ABBOTINDIA,,,,,,,,74.99,,,,,Jun 2026
ACE,,1057.0,28.8,169.0,31.7,22.9,0.19,65.42,38.0,14.0,417.0,0.0,Jun 2026
ACUTAAS,,3234.0,68.5,202.0,31.6,24.0,0.05,32.66,62.0,78.0,292.0,0.02,Jun 2026
ADANIENSOL,,1659.0,68.2,212.0,9.65,9.44,0.0,74.71,21.0,26.0,10997.0,1.93,Jun 2026
ADANIENT,,3049.0,174.0,627.0,5.8,-3.38,0.04,71.97,,8.0,2357.0,1.32,Jul 2026
ADANIGREEN,,1359.0,115.0,121.0,7.39,11.4,0.0,62.43,17.0,8.0,10135.0,5.19,Jun 2026
ADANIPORTS,,1664.0,28.8,416.0,14.1,16.4,0.45,66.03,27.0,29.0,20356.0,0.66,Jun 2026
ADANIPOWER,,209.0,28.3,33.7,17.2,21.1,0.0,74.96,6.0,56.0,20514.0,0.84,Jun 2026
ATGL,,650.0,113.0,44.2,15.3,14.4,0.04,74.8,6.0,-1.0,1149.0,0.46,Jun 2026
ABCAPITAL,,394.0,27.6,131.0,8.72,12.0,0.0,68.81,-7.0,26.0,-36544.0,,Jun 2026
ABFRL,,58.9,,47.8,-3.07,-11.7,0.0,46.61,,-9.0,161.0,1.06,Jun 2026
ABLBL,,94.4,57.7,11.6,15.0,14.9,0.53,46.6,,,1219.0,2.14,Jun 2026
ABREL,,1378.0,,331.0,-4.48,-2.64,0.18,50.21,,9.0,747.0,1.52,Jun 2026
ABSLAMC,,1009.0,28.8,140.0,32.2,25.2,2.53,74.72,18.0,35.0,812.0,0.02,Jun 2026
CPPLUS,,3260.0,105.0,159.0,28.6,25.4,0.05,74.71,48.0,,13.0,0.14,Jun 2026
AEGISLOG,,1249.0,50.4,173.0,13.3,16.3,0.7,58.1,24.0,48.0,2028.0,0.69,Jun 2026
AEGISVOPAK,,292.0,104.0,38.7,7.56,11.0,0.07,86.94,1472.0,,702.0,0.87,Jun 2026
AFCONS,,273.0,33.4,148.0,13.9,5.61,0.73,50.17,-11.0,,-127.0,0.67,Jun 2026
AFFLE,,1623.0,50.3,259.0,16.8,13.8,0.0,54.91,23.0,15.0,502.0,0.0,Jun 2026
AJANTPHARM,,3436.0,37.8,362.0,34.5,27.1,0.81,63.49,24.0,27.0,529.0,0.06,Jun 2026
ALKEM,,5816.0,28.5,1156.0,21.2,18.9,0.77,49.7,32.0,13.0,1963.0,0.15,Jun 2026
ABDL,,648.0,81.4,59.4,18.4,14.3,0.83,80.91,422.0,,362.0,0.69,Jun 2026
ARE&M,,907.0,29.9,442.0,12.2,7.18,1.17,32.86,-10.0,13.0,1118.0,0.05,Jun 2026
AMBER,,7401.0,132.0,1242.0,10.2,5.95,0.0,38.09,7.0,45.0,240.0,0.62,Jun 2026
AMBUJACEM,,434.0,22.9,240.0,5.61,8.85,0.46,67.33,21.0,-2.0,5362.0,0.01,Jun 2026
ANANDRATHI,,2039.0,72.8,60.1,59.2,47.3,0.32,41.37,33.0,91.0,281.0,0.08,Jun 2026
ANANTRAJ,,610.0,39.5,161.0,12.1,11.2,0.16,57.43,54.0,45.0,-435.0,0.12,Jun 2026
ANGELONE,,292.0,25.8,67.2,14.8,15.6,1.39,28.59,1.0,24.0,-4142.0,1.3,Jun 2026
ANTHEM,,784.0,74.5,54.2,30.4,22.3,0.25,71.42,21.0,,844.0,0.02,Jun 2026
ANURAS,,1211.0,81.2,293.0,7.36,5.5,0.06,59.07,-2.0,7.0,334.0,0.56,Jun 2026
APARINDS,,13745.0,45.8,1343.0,31.1,20.2,0.37,57.76,16.0,54.0,968.0,0.18,Jun 2026
APOLLOHOSP,,8988.0,66.1,659.0,17.9,22.1,0.22,28.02,34.0,20.0,2856.0,0.9,Jun 2026
APOLLOTYRE,,423.0,13.1,263.0,13.9,13.1,1.42,36.93,26.0,-1.0,3667.0,0.22,Jun 2026
APTUS,,277.0,14.7,101.0,15.4,20.1,1.62,23.86,23.0,-1.0,-489.0,,Jun 2026
ASAHIINDIA,,869.0,62.9,154.0,11.8,10.7,0.23,51.58,-1.0,15.0,502.0,0.56,Jun 2026
ASHOKLEY,,158.0,25.6,24.2,13.6,27.4,2.21,51.51,45.0,20.0,-4895.0,4.49,Jun 2026
ASIANPAINT,,2746.0,54.0,223.0,26.3,21.8,1.0,52.63,2.0,-7.0,7088.0,0.18,Jun 2026
ASTERDM,,814.0,174.0,88.3,11.4,10.7,0.61,53.72,-1.0,38.0,656.0,0.49,Jul 2026
ASTRAL,,1472.0,71.8,151.0,19.9,14.4,0.25,54.22,7.0,-9.0,1117.0,0.06,Jun 2026
ATHERENERG,,,,,,,,39.58,,,,,Jul 2026
ATUL,,6803.0,25.2,2113.0,14.9,11.5,0.44,45.33,9.0,0.0,1023.0,0.03,Jun 2026
AUROPHARMA,,1576.0,25.8,652.0,12.8,10.1,0.25,51.88,23.0,24.0,5526.0,0.21,Jun 2026
AIIL,,546.0,22.1,173.0,13.7,13.1,0.04,68.81,217.0,93.0,1524.0,,Jun 2026
DMART,,3874.0,82.6,375.0,17.2,12.9,0.0,74.48,8.0,1.0,3467.0,0.1,Jun 2026
AXISBANK,,1229.0,13.8,712.0,6.24,13.1,0.08,7.87,35.0,9.0,-8637.0,,Jun 2026
BEML,,1756.0,104.0,352.0,7.71,4.86,0.6,54.03,-2.0,20.0,118.0,0.11,Jun 2026
BLS,,239.0,14.3,59.8,29.3,32.7,0.84,70.39,50.0,-1.0,903.0,0.17,Jun 2026
BSE,,3530.0,57.9,164.0,58.0,44.8,0.28,,124.0,136.0,3104.0,0.0,Jun 2026
BAJAJ-AUTO,,11432.0,26.7,1389.0,28.2,29.2,1.31,55.01,21.0,32.0,2597.0,0.58,Jun 2026
BAJFINANCE,,1054.0,32.0,183.0,10.9,18.2,0.51,54.68,19.0,13.0,-65790.0,,Jun 2026
BAJAJFINSV,,1909.0,30.7,487.0,10.6,13.2,0.08,58.72,16.0,6.0,-55301.0,5.52,Jun 2026
BAJAJHLDNG,,10970.0,15.1,6573.0,11.0,11.9,1.32,51.46,19.0,13.0,4780.0,0.0,Jun 2026
BAJAJHFL,,,,,,,,86.7,,,,,Jun 2026
BALKRISIND,,2307.0,31.7,567.0,11.2,9.66,0.69,58.3,1.0,-3.0,2249.0,0.38,Jun 2026
BALRAMCHIN,,596.0,33.3,205.0,9.28,9.54,0.59,42.86,10.0,14.0,599.0,0.77,Jun 2026
BANDHANBNK,,,,,,,,37.54,,,,,Jun 2026
BANKBARODA,,242.0,5.66,326.0,5.63,12.7,3.52,63.97,10.0,6.0,33426.0,,Jun 2026
BANKINDIA,,137.0,5.3,200.0,5.93,12.4,3.39,73.38,42.0,17.0,4753.0,,Jun 2026
MAHABANK,,79.3,8.09,46.4,6.03,22.6,2.78,73.6,39.0,33.0,-11336.0,,Jun 2026
BATAINDIA,,700.0,53.4,124.0,12.7,10.6,1.29,50.16,-19.0,-26.0,595.0,0.87,Jun 2026
BAYERCROP,,4226.0,387.0,84.5,20.1,15.8,3.55,71.44,,-2.0,38.0,0.34,Jun 2026
BELRISE,,233.0,45.0,58.7,14.5,12.6,0.24,61.14,17.0,,876.0,0.29,Jul 2026
BERGEPAINT,,521.0,53.7,59.3,21.6,17.3,0.77,74.98,10.0,-3.0,1540.0,0.09,Jun 2026
BDL,,,,,,,,74.93,,,,,Jun 2026
BEL,,385.0,45.8,32.8,36.5,27.6,0.62,51.14,27.0,43.0,1541.0,0.0,Jun 2026
BHARATFORG,,2165.0,91.7,200.0,12.6,12.0,0.39,44.07,33.0,32.0,1487.0,0.76,Jun 2026
BHEL,,403.0,57.7,75.1,9.14,6.23,0.35,58.17,36.0,57.0,5837.0,0.31,Jun 2026
BPCL,,316.0,8.84,231.0,25.7,28.8,5.54,52.98,107.0,19.0,50769.0,0.54,Jun 2026
BHARTIARTL,,1957.0,45.9,245.0,17.6,20.3,1.23,50.07,45.0,30.0,122230.0,1.31,Jun 2026
BHARTIHEXA,,,,,,,,70.0,,,,,Jun 2026
BIKAJI,,644.0,61.7,64.1,19.8,17.5,0.19,73.88,24.0,10.0,304.0,0.19,Jun 2026
GROWW,,192.0,49.4,15.4,37.3,28.8,0.0,27.14,66.0,,-21.0,0.03,Jun 2026
BIOCON,,425.0,178.0,210.0,3.61,1.4,0.12,44.68,-15.0,18.0,1994.0,0.45,Jun 2026
BSOFT,,306.0,14.4,147.0,21.2,14.1,2.12,40.38,18.0,-11.0,481.0,0.03,Jun 2026
BLUEDART,,5026.0,42.5,749.0,16.6,16.8,0.5,75.0,-8.0,-9.0,810.0,0.64,Jun 2026
BLUEJET,,612.0,82.4,,57.3,52.1,0.2,73.15,,,129.0,0.16,Jul 2026
BLUESTARCO,,1691.0,62.2,167.0,21.2,17.2,0.5,36.49,26.0,29.0,154.0,0.24,Jun 2026
BBTC,,1493.0,8.81,1009.0,33.0,18.7,1.14,74.04,31.0,10.0,2419.0,0.23,Jun 2026
BOSCHLTD,,41550.0,58.7,5033.0,21.5,14.6,0.65,70.54,14.0,30.0,2175.0,0.01,Jun 2026
FIRSTCRY,,212.0,,92.5,0.57,-2.37,0.0,,21.0,,365.0,0.33,Jun 2026
BRIGADE,,565.0,28.2,209.0,10.5,10.5,0.35,41.1,35.0,8.0,-137.0,0.93,Jun 2026
BRITANNIA,,5524.0,52.6,212.0,56.0,53.5,1.64,50.55,8.0,5.0,2612.0,0.27,Jun 2026
MAPMYINDIA,,1185.0,63.0,165.0,19.1,12.0,0.3,51.41,2.0,-8.0,93.0,0.01,Jun 2026
CCL,,1174.0,36.2,176.0,15.8,18.0,0.43,46.14,11.0,24.0,858.0,0.56,Jun 2026
CESC,,165.0,14.2,94.5,10.6,12.6,3.64,52.11,6.0,28.0,4057.0,1.73,Jun 2026
CGPOWER,,833.0,103.0,50.6,26.7,20.5,0.16,56.36,10.0,27.0,702.0,0.01,Jun 2026
CIEINDIA,,412.0,17.4,204.0,14.7,11.8,1.7,65.7,127.0,-7.0,1258.0,0.07,Jun 2026
CRISIL,,4407.0,36.4,447.0,32.6,24.5,0.57,66.64,7.0,4.0,756.0,0.1,Jun 2026
CANFINHOME,,,,,,,,29.99,,,,,Jun 2026
CANBK,,124.0,5.68,136.0,6.52,16.1,3.38,62.93,18.0,22.0,7942.0,,Jun 2026
CANHLIFE,,,,,,,,62.0,,,,,Jun 2026
CAPLIPOINT,,2536.0,30.1,472.0,24.6,20.6,0.24,70.57,20.0,41.0,523.0,0.0,Jun 2026
CGCL,,221.0,18.8,74.9,11.7,16.5,0.09,59.92,67.0,4.0,-8728.0,,Jun 2026
CARBORUNIV,,1051.0,77.7,205.0,10.5,6.92,0.38,38.9,-14.0,-5.0,367.0,0.11,Jun 2026
CARTRADE,,2792.0,56.2,519.0,11.8,9.69,0.0,,89.0,77.0,257.0,0.06,Jun 2026
CASTROLIND,,,,,,,,51.0,,,,,Jun 2026
CEATLTD,,3464.0,22.0,1247.0,19.2,16.1,1.01,47.29,54.0,12.0,1786.0,0.65,Jun 2026
CEMPRO,,1359.0,38.7,140.0,32.8,27.8,0.22,67.46,68.0,94.0,500.0,0.42,Jun 2026
CENTRALBK,,31.0,6.15,45.2,5.64,11.9,3.87,81.19,39.0,1.0,2804.0,,Jun 2026
CDSL,,1336.0,61.2,93.8,32.0,24.5,0.95,15.0,18.0,30.0,467.0,0.0,Jun 2026
CHALET,,805.0,32.9,169.0,17.1,19.2,0.12,67.29,60.0,18.0,1067.0,0.64,Jun 2026
CHAMBLFERT,,446.0,9.26,260.0,25.5,20.4,2.47,61.34,25.0,17.0,138.0,0.1,Jun 2026
CHENNPETRO,,1238.0,4.42,746.0,35.1,32.1,5.01,67.29,-4.0,45.0,2945.0,0.18,Jun 2026
CHOICEIN,,799.0,81.7,75.0,18.0,16.1,0.0,53.66,54.0,65.0,-267.0,0.54,Jun 2026
CHOLAHLDNG,,1503.0,11.6,823.0,9.75,17.5,0.09,46.44,24.0,16.0,-30033.0,,Jun 2026
CHOLAFIN,,1774.0,26.3,357.0,9.71,19.4,0.11,49.23,25.0,16.0,-30021.0,,Jun 2026
CIPLA,,1466.0,33.1,426.0,15.5,11.6,0.89,29.22,10.0,8.0,3940.0,0.02,Jun 2026
CUB,,,,,,,,,,,,,Jun 2026
CLEAN,,729.0,33.8,149.0,20.6,15.3,0.82,51.29,-8.0,-18.0,275.0,0.0,Jun 2026
COALINDIA,,417.0,8.24,193.0,35.3,28.5,5.09,61.13,-1.0,22.0,43215.0,0.12,Jun 2026
COCHINSHIP,,1402.0,51.5,223.0,16.0,12.5,0.7,67.91,40.0,61.0,-1234.0,0.28,Jun 2026
COFORGE,,1747.0,40.3,284.0,23.5,20.6,0.69,,31.0,23.0,1792.0,0.08,Jun 2026
COHANCE,,425.0,82.4,102.0,8.35,7.04,0.0,57.49,-21.0,-5.0,368.0,0.1,Jun 2026
COLPAL,,2085.0,131.0,12.1,179.0,158.0,2.45,51.0,33.0,1.0,404.0,0.02,Jun 2026
CAMS,,793.0,44.5,53.3,47.0,36.3,1.58,0.0,17.0,19.0,584.0,0.05,Jun 2026
CONCORDBIO,,1330.0,58.3,193.0,17.1,12.5,0.57,44.08,0.0,,267.0,0.0,Jun 2026
CONCOR,,525.0,32.2,170.0,12.4,9.81,1.45,54.8,2.0,-2.0,1482.0,0.07,Jun 2026
COROMANDEL,,2054.0,32.5,426.0,22.0,16.4,0.54,56.35,-1.0,26.0,1558.0,0.12,Jun 2026
CRAFTSMAN,,10047.0,56.1,1368.0,13.9,12.5,0.11,42.41,16.0,29.0,522.0,1.11,Jun 2026
CREDITACC,,1614.0,21.4,490.0,9.98,10.5,0.0,66.21,-2.0,3.0,-2770.0,,Jun 2026
CROMPTON,,260.0,49.9,46.1,18.1,10.6,1.15,,-10.0,-4.0,723.0,0.07,Jun 2026
